concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000040,Recipe,白灼虾,白灼虾 (Recipe),白灼虾,[],水产,2.0,粤菜,10分钟,11分钟,1-2人份,"防止糊底,锅盖通气口时间调节,蘸料可选",dishes\aquatic\白灼虾\白灼虾.md,,,,,,,,
201000041,Ingredient,虾,虾 (Ingredient),虾,[],蛋白质,,,,,,,,250,g,True,,,,,
201000042,Ingredient,葱,葱 (Ingredient),葱,[],蔬菜,,,,,,,,1,根,False,,,,,
201000043,Ingredient,姜,姜 (Ingredient),姜,[],蔬菜,,,,,,,,1,块,False,,,,,
201000044,Ingredient,洋葱,洋葱 (Ingredient),洋葱,[],蔬菜,,,,,,,,1,头,False,,,,,
201000045,Ingredient,蒜,蒜 (Ingredient),蒜,[],蔬菜,,,,,,,,5-8,瓣,False,,,,,
201000046,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,10-15,ml,False,,,,,
201000047,Ingredient,料酒,料酒 (Ingredient),料酒,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,20,ml,False,,,,,
201000048,Ingredient,酱油,酱油 (Ingredient),酱油,[],调料,,,,,,,,10-15,ml,False,,,,,
201000049,Ingredient,芝麻,芝麻 (Ingredient),芝麻,[],调料,,,,,,,,1,把,False,,,,,
201000050,Ingredient,香醋,香醋 (Ingredient),香醋,[],调料,,,,,,,,10,ml,False,,,,,
201000051,Ingredient,蚝油,蚝油 (Ingredient),蚝油,[],调料,,,,,,,,10,ml,False,,,,,
201000052,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,洋葱切小块，姜切片，平铺平底锅。,1.0,切,"刀,案板,平底锅",
201000053,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,活虾冲洗一下（去除虾线、剪刀减掉虾腿虾须子都是可选操作），控水，铺在平底锅的洋葱、姜片之上。,2.0,"洗,剪","剪刀,平底锅",
201000054,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,锅内倒入料酒，盖上锅盖，中火 1 分钟，小火 5 分钟，关火 5 分钟。,3.0,"煮,焖","平底锅,锅盖",中火1分钟，小火5分钟，关火5分钟
201000055,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,和上一步并行操作，制作蘸料：葱切成葱花、蒜切碎、倒入酱油、芝麻、香醋，搅拌之。油烧热，淋入蘸料。,4.0,"切,搅拌,加热","刀,案板,碗,锅",
201000056,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,虾出锅，用干净的盘子装好。,5.0,装盘,盘子,
201000057,Recipe,糖醋鲤鱼,糖醋鲤鱼 (Recipe),糖醋鲤鱼,"[{'term': 'sweet and sour鲤鱼', 'language': 'en', 'language_code': 'en-US'}]",荤菜,4.0,,,,,,dishes\aquatic\糖醋鲤鱼\糖醋鲤鱼.md,,,,,,,,
201000058,Recipe,芥末黄油罗氏虾,芥末黄油罗氏虾 (Recipe),芥末黄油罗氏虾,[],水产,3.0,,,,1盘,"酱汁提前调配,黄油提前备好,蒜蓉后下防发苦,芥末用量可调",dishes\aquatic\芥末黄油罗氏虾\芥末黄油罗氏虾.md,,,,,,,,
201000059,Ingredient,罗氏虾,罗氏虾 (Ingredient),罗氏虾,[],蛋白质,,,,,,,,1斤多,斤,True,,,,,
201000060,Ingredient,黄油,黄油 (Ingredient),黄油,[],其他,,,,,,,,20,g,False,,,,,
201000061,Ingredient,芥末,芥末 (Ingredient),芥末,[],调料,,,,,,,,15,g,False,,,,,
201000062,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,3,g,False,,,,,
201000063,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,30,g,False,,,,,
201000064,Ingredient,蚝油,蚝油 (Ingredient),蚝油,[],调料,,,,,,,,30,g,False,,,,,
201000065,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,3,g,False,,,,,
201000066,Ingredient,料酒、朗姆酒或啤酒,料酒、朗姆酒或啤酒 (Ingredient),料酒、朗姆酒或啤酒,[],调料,,,,,,,,15-30,g,False,,,,,
201000067,Ingredient,香菜,香菜 (Ingredient),香菜,"[{'term': '芫荽', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '胡荽', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,5,条,False,,,,,
201000068,Ingredient,蒜,蒜 (Ingredient),蒜,[],蔬菜,,,,,,,,5,颗,False,,,,,
201000069,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,将罗氏虾剪掉头尾尖刺、触须和脚，剪刀把虾身开背，去除虾线。,1.0,"剪,切",剪刀,
201000070,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,提前搅拌好芥末酱汁：酱油、蚝油、芥末、盐、糖，搅拌均匀！,2.0,搅拌,碗,
201000071,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,洗好香菜，切段备用。,3.0,"洗,切","刀,案板",
201000072,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,罗氏虾沥掉水，锅中加入油，直接放入罗氏虾，中火，外表煎至金黄，捞出。,4.0,煎,锅,
201000073,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,下入蒜蓉，大火，利用煎虾剩下的油继续煎炒蒜蓉，等到锅中白雾冒出，蒜蓉已经煎出香味，下虾和黄油，让虾充分吸收黄油香味。,5.0,"炒,煎","锅,锅铲",
201000074,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,下入调好的酱汁，继续大火煮沸，翻炒虾，至酱汁收汁，加入酒（料酒、啤酒可以放 30g，朗姆酒味道浓郁放 15g 即可）。,6.0,"煮,翻炒","锅,锅铲",
201000075,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,在等酱汁稍微收汁，加入香菜翻炒两下，即可出锅。,7.0,翻炒,"锅,锅铲",
201000076,Recipe,葱油桂鱼,葱油桂鱼 (Recipe),葱油桂鱼,[],荤菜,4.0,,,,,,dishes\aquatic\葱油桂鱼\葱油桂鱼.md,,,,,,,,
201000077,Recipe,葱烧海参,葱烧海参 (Recipe),葱烧海参,[],水产,3.0,鲁菜,5-10分钟,10-15分钟,1,注意观察水量，快见底时加水淀粉,dishes\aquatic\葱烧海参\葱烧海参.md,,,,,,,,
201000078,Ingredient,泡发好的海参（北极参）,泡发好的海参（北极参） (Ingredient),泡发好的海参（北极参）,[],蛋白质,,,,,,,,4,个,True,,,,,
201000079,Ingredient,大葱葱白,大葱葱白 (Ingredient),大葱葱白,[],蔬菜,,,,,,,,1,根,False,,,,,
201000080,Ingredient,食用油,食用油 (Ingredient),食用油,[],其他,,,,,,,,20-25,ml,False,,,,,
201000081,Ingredient,蚝油,蚝油 (Ingredient),蚝油,[],调料,,,,,,,,20,g,False,,,,,
201000082,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,g,False,,,,,
201000083,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,2,g,False,,,,,
201000084,Ingredient,淀粉,淀粉 (Ingredient),淀粉,[],淀粉类,,,,,,,,2,g,False,,,,,
201000085,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,葱白切成 1cm 的段，备用。,1.0,切,"刀,案板",
201000086,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,海参切成 1cm 的段，备用。,2.0,切,"刀,案板",
201000087,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,准备一个空碗，倒入 20g 蚝油， 10g 生抽， 2g 白糖，搅拌均匀。,3.0,"调,搅拌",碗,
201000088,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,另一个空碗倒入淀粉，水，制备水淀粉，勾芡用。,4.0,调,碗,
201000089,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,热锅，锅内放入 20ml - 25ml 食用油。等待 10 秒让油温升高。,5.0,热锅,炒锅,10秒
201000090,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,放入葱白，调小火，注意不要让葱白变焦。大概煎 3-5 分钟即可。,6.0,煎,"炒锅,锅铲",3-5分钟
201000091,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,用筷子夹出葱白，放入盘中备用。,7.0,夹,"筷子,盘",
201000092,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,倒入调好的料汁，炒香，等待 1 - 2 分钟 。,8.0,炒,"炒锅,锅铲",1-2分钟
201000093,CookingStep,步骤9,步骤9 (Cooking Step),步骤9,,,,,,,,,,,,,放入切好的海参，翻炒 1 分钟,9.0,翻炒,"炒锅,锅铲",1分钟
201000094,CookingStep,步骤10,步骤10 (Cooking Step),步骤10,,,,,,,,,,,,,加入 100 ml 的水， 中小火， 等待 5 分钟,10.0,"煮,炖",炒锅,5分钟
201000095,CookingStep,步骤11,步骤11 (Cooking Step),步骤11,,,,,,,,,,,,,等待锅中汤汁快干的时候，加入水淀粉，加入前面取出的葱白,11.0,勾芡,"炒锅,锅铲",
201000096,CookingStep,步骤12,步骤12 (Cooking Step),步骤12,,,,,,,,,,,,,在外观呈粘稠状态后关火，盛盘,12.0,盛盘,盘,
201000097,Recipe,蒜蓉虾,蒜蓉虾 (Recipe),蒜蓉虾,[],水产,2.0,粤菜,10分钟,5分钟,1份,,dishes\aquatic\蒜蓉虾\蒜蓉虾.md,,,,,,,,
201000098,Ingredient,海虾,海虾 (Ingredient),海虾,[],蛋白质,,,,,,,,8,只,True,,,,,
201000099,Ingredient,蒜蓉酱,蒜蓉酱 (Ingredient),蒜蓉酱,[],调料,,,,,,,,50,g,False,,,,,
201000100,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,20,ml,False,,,,,
201000101,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,ml,False,,,,,
201000102,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,用刀从虾头中间切开，切到距离虾尾 1 cm,1.0,切,刀,
201000103,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,将蒜蓉酱铺在虾身中间，放在盘子中,2.0,铺,盘子,
201000104,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,锅中倒入热水，将盘子放入锅中，大火蒸 3 分钟,3.0,蒸,蒸锅,3分钟
201000105,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,烧热油，倒入虾盘中，倒入生抽,4.0,淋油,锅,
201000106,Recipe,蒜香黄油虾,蒜香黄油虾 (Recipe),蒜香黄油虾,[],水产,2.0,西餐,10分钟,10分钟,1-2人,"虾不宜过度烹饪,火候控制",dishes\aquatic\蒜香黄油虾\蒜香黄油虾.md,,,,,,,,
201000107,Ingredient,大虾,大虾 (Ingredient),大虾,[],蛋白质,,,,,,,,200,g,True,,,,,
201000108,Ingredient,无盐黄油,无盐黄油 (Ingredient),无盐黄油,[],调料,,,,,,,,30,g,False,,,,,
201000109,Ingredient,大蒜,大蒜 (Ingredient),大蒜,[],蔬菜,,,,,,,,20,g,False,,,,,
201000110,Ingredient,白葡萄酒,白葡萄酒 (Ingredient),白葡萄酒,[],调料,,,,,,,,15,ml,False,,,,,
201000111,Ingredient,柠檬,柠檬 (Ingredient),柠檬,[],蔬菜,,,,,,,,1/4,个,False,,,,,
201000112,Ingredient,橄榄油,橄榄油 (Ingredient),橄榄油,[],调料,,,,,,,,10,ml,False,,,,,
201000113,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,大虾去头去壳留尾，用牙签挑去虾线，洗净后用厨房纸吸干水分,1.0,"处理,清洗","牙签,厨房纸",
201000114,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,大蒜切成蒜末，备用,2.0,切,"刀,案板",
201000115,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,中火加热平底锅，放入 10ml 橄榄油,3.0,加热,平底锅,
201000116,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,油热后放入大虾，每面煎 1-1.5 分钟至变色，取出备用,4.0,煎,"平底锅,厨房用夹",2-3分钟
201000117,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,同一锅中加入黄油，融化后放入蒜末，小火炒香（约 30 秒）,5.0,炒,平底锅,30秒
201000118,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,如使用白葡萄酒，此时加入并煮至酒精挥发（约 1 分钟）,6.0,煮,平底锅,1分钟
201000119,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,将虾放回锅中，与蒜香黄油酱汁翻炒均匀（约 1 分钟）,7.0,炒,"平底锅,锅铲",1分钟
201000120,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,挤入柠檬汁，翻炒均匀后立即关火,8.0,炒,平底锅,
201000121,CookingStep,步骤9,步骤9 (Cooking Step),步骤9,,,,,,,,,,,,,装盘，淋上锅中剩余酱汁,9.0,装盘,盘子,
201000122,Recipe,蛏抱蛋,蛏抱蛋 (Recipe),蛏抱蛋,[],水产,3.0,闽菜,10分钟,10分钟,1-2人,"添加马蹄或马铃薯解腻洗油,可根据个人口味调整甜度或放弃白糖,通过敲打食材听声音判断是否炸透",dishes\aquatic\蛏抱蛋\蛏抱蛋.md,,,,,,,,
201000123,Ingredient,蛏子,蛏子 (Ingredient),蛏子,[],蛋白质,,,,,,,,200,g,True,,,,,
201000124,Ingredient,鸡蛋,鸡蛋 (Ingredient),鸡蛋,"[{'term': '鸡子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蛋白质,,,,,,,,2,个,True,,,,,
201000125,Ingredient,食用油,食用油 (Ingredient),食用油,[],其他,,,,,,,,100,ml,False,,,,,
201000126,Ingredient,洋葱,洋葱 (Ingredient),洋葱,[],蔬菜,,,,,,,,0.25,个,False,,,,,
201000127,Ingredient,淀粉,淀粉 (Ingredient),淀粉,[],淀粉类,,,,,,,,20,g,False,,,,,
201000128,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,ml,False,,,,,
201000129,Ingredient,鸡精,鸡精 (Ingredient),鸡精,[],调料,,,,,,,,5,ml,False,,,,,
201000130,Ingredient,料酒,料酒 (Ingredient),料酒,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,ml,False,,,,,
201000131,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,烧开水，将蛏子放入水中，水煮 2 分钟后，捞上来去壳，放入大碗,1.0,煮,"锅,大碗",2分钟
201000132,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,往大碗中加入洋葱、生抽、料酒、鸡精、生粉后，充分搅拌,2.0,"搅拌,腌制","大碗,筷子",
201000133,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,往大碗中打入 2 个 鸡蛋，继续搅拌,3.0,搅拌,"大碗,筷子",
201000134,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,起锅烧油，倒入碗中蛏子，煎炸至单面金黄后，翻面继续煎炸,4.0,"煎,炸","平底锅,锅铲",至金黄
201000135,Recipe,香煎翘嘴鱼,香煎翘嘴鱼 (Recipe),香煎翘嘴鱼,"[{'term': '香pan-fried翘嘴鱼', 'language': 'zh', 'language_code': 'zh-CN'}]",水产,4.0,,腌制1-2天，晾晒1-2天,10-20分钟,2-3人,"开背杀鱼,均匀涂抹食盐,控制腌制晾晒时间,小火煎鱼,入锅勿动防破皮,观察青椒熟度,香菜最后放,注意火候切换,利用豆瓣酱白糖提鲜陈醋增香",dishes\aquatic\香煎翘嘴鱼\香煎翘嘴鱼.md,,,,,,,,
201000136,Ingredient,翘嘴鱼,翘嘴鱼 (Ingredient),翘嘴鱼,[],蛋白质,,,,,,,,2,斤,True,,,,,
201000137,Ingredient,姜,姜 (Ingredient),姜,[],调料,,,,,,,,20,g,False,,,,,
201000138,Ingredient,葱,葱 (Ingredient),葱,[],蔬菜,,,,,,,,50,克,False,,,,,
201000139,Ingredient,蒜,蒜 (Ingredient),蒜,[],调料,,,,,,,,4,个,False,,,,,
201000140,Ingredient,香菜,香菜 (Ingredient),香菜,"[{'term': '芫荽', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '胡荽', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,适量,,False,,,,,
201000141,Ingredient,老抽,老抽 (Ingredient),老抽,"[{'term': '深色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '红烧酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,2,ml,False,,,,,
201000142,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,10,g,False,,,,,
201000143,Ingredient,干辣椒,干辣椒 (Ingredient),干辣椒,[],调料,,,,,,,,4-6,个,False,,,,,
201000144,Ingredient,料酒,料酒 (Ingredient),料酒,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,100,ml,False,,,,,
201000145,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,4,ml,False,,,,,
201000146,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,50,g,False,,,,,
201000147,Ingredient,食用油,食用油 (Ingredient),食用油,[],其他,,,,,,,,100,ml,False,,,,,
201000148,Ingredient,豆瓣酱,豆瓣酱 (Ingredient),豆瓣酱,[],调料,,,,,,,,适量,,False,,,,,
201000149,Ingredient,青椒,青椒 (Ingredient),青椒,"[{'term': '柿子椒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '甜椒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '彩椒', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,适量,,False,,,,,
201000150,Ingredient,鸡精,鸡精 (Ingredient),鸡精,[],调料,,,,,,,,适量,,False,,,,,
201000151,Ingredient,十三香,十三香 (Ingredient),十三香,[],调料,,,,,,,,适量,,False,,,,,
201000152,Ingredient,陈醋,陈醋 (Ingredient),陈醋,[],调料,,,,,,,,适量,,False,,,,,
201000153,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,鱼开背杀好（让卖鱼的杀好，千万不要剖腹杀鱼，切记是开背），清洗干净,1.0,"处理,清洗",刀,
201000154,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,鱼表面用盐涂抹均匀，倒入料酒约 80ml，姜末 20g，放入冰箱保鲜层进行腌制,2.0,腌制,"盆,冰箱",1-2 天
201000155,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,取出腌制好的鱼，用绳挂起晾晒至半干（具体时间需结合气温与阳光）,3.0,晾晒,绳子,1-2 天
201000156,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,食用前请将鱼用清水清洗，沥干水分（防止水遇油飞溅）,4.0,清洗,,
201000157,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,开大火将锅烧热，迅速改小火，锅中放油，尽量保持整个锅表面有油，将鱼沿锅边划入锅内（先煎鱼背面）,5.0,煎,炒锅,
201000158,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,鱼入锅后（和翻面后），不要着急移动鱼的位置（此时容易破皮），煎约 30 秒后，尝试晃动锅,6.0,煎,炒锅,30 秒
201000159,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,背面煎约 1 分钟后，翻面煎约 1-2 分钟，煎至两面金黄,7.0,煎,"炒锅,锅铲",2-3 分钟
201000160,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,等两面都煎好时，把鱼推向锅边一点，留点空间放入豆瓣酱炒香味，放入姜蒜,8.0,炒,"炒锅,锅铲",
201000161,CookingStep,步骤9,步骤9 (Cooking Step),步骤9,,,,,,,,,,,,,炒出佐料香味后，加入料酒，生抽，老抽，倒入热水，水量和鱼平齐或者少点,9.0,煮,炒锅,
201000162,CookingStep,步骤10,步骤10 (Cooking Step),步骤10,,,,,,,,,,,,,此时改中大火，煮 5-10 分钟，后放入青椒断，白糖，鸡精，十三香，陈醋,10.0,煮,炒锅,5-10 分钟
201000163,CookingStep,步骤11,步骤11 (Cooking Step),步骤11,,,,,,,,,,,,,改小火 2-5 分钟，放入葱，香菜，即可出锅,11.0,"煮,出锅","炒锅,锅铲",2-5 分钟
201000164,Recipe,鲤鱼炖白菜,鲤鱼炖白菜 (Recipe),鲤鱼炖白菜,"[{'term': '鲤鱼炖小白菜', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲤鱼炖大白菜', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲤鱼stewed白菜', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲤鱼炖cabbage', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲤鱼煲白菜', 'language': 'zh', 'language_code': 'zh-CN'}]",水产,3.0,,10分钟,20分钟,1份,可加粉条需提前泡软,dishes\aquatic\鲤鱼炖白菜\鲤鱼炖白菜.md,,,,,,,,
201000165,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,10,ml,False,,,,,
201000166,Ingredient,姜,姜 (Ingredient),姜,[],调料,,,,,,,,3,片,False,,,,,
201000167,Ingredient,蒜,蒜 (Ingredient),蒜,[],调料,,,,,,,,3,瓣,False,,,,,
201000168,Ingredient,鲤鱼,鲤鱼 (Ingredient),鲤鱼,[],蛋白质,,,,,,,,1.2,斤,True,,,,,
201000169,Ingredient,娃娃菜,娃娃菜 (Ingredient),娃娃菜,[],蔬菜,,,,,,,,13,片,True,,,,,
201000170,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,5-8,克,False,,,,,
